title,id,episodes,score,rank,popularity,members,favorites,start_date,end_date,status,type,synopsis
C: The Money of Soul and Possibility Control,10163,11,7.48,1377,225,99091,615,2011-04-15,2011-06-24,Finished Airing,TV,"The Japanese government was rescued from the brink of financial collapse by the Sovereign Wealth Fund. For its citizens, however, life has not improved and unemployment, crime, suicide, and despair are rampant. Kimimaro, raised by his maternal aunt after the disappearance of his father and the death of his mother, is a scholarship student whose only dream is to live a stable, ordinary life. One day he meets a man who offers him a large sum of money if he will allow his ""future"" to be held as collateral. From then on his fate is radically altered as he's drawn into a mysterious realm known as the Financial District, where he must compete in weekly tournaments called ""deals"" in order to keep his money and avoid losing his future."
Nichijou,10165,26,8.53,91,164,120081,4273,2011-04-03,2011-09-25,Finished Airing,TV,"While the title suggests a story of simple, everyday school life, the contents are more the opposite. The setting is a strange school where you may see the principal wrestle a deer or a robot's arm hide a rollcake. However there are still normal stories, like making a card castle or taking a test you didn't study for."
Freezing Specials,10172,6,6.76,3980,1387,18859,20,2011-03-30,2011-08-24,Finished Airing,Special,These episodes focus on ecchi and comedy and don't have anything to do with the main story of Freezing.
DD Hokuto no Ken,10177,12,6.33,5424,4976,1152,1,2011-01-12,2011-04-06,Finished Airing,TV,"Super-deformed version of Hokuto no Ken, Buronson & Hara Tetsuo's post-apocalyptic fighting manga. Note: The ""DD"" stands for ""Design Deformation,"" since the characters are only ""two-heads-tall."""
Otona Joshi no Anime Time,10178,4,7.53,1346,2364,7462,15,2011-01-07,2013-03-24,Finished Airing,Special,"A series of animations based on prize-winning short stories for women. Kawamo wo Suberu Kaze In the story, 33-year-old Kanazawa native Noriko had decided long ago not to accept an ordinary, provincial life for herself. So, she had gone to college in Tokyo, worked on her own, married a man at an elite trading firm, and had a child. She has just returned home from five years abroad with her husband and four-year-old son. However, she senses a large emptiness in her heart since coming back. Moreover, there is a man who shares a big secret with Noriko. Yuuge Mimi, a wife in her late 20s, leaves her family and begins living with a young man. Jinsei Best 10 Hatoko, a business woman, faces her upcoming 40th birthday and reunites with the person with whom she shared her first kiss in middle school, over two decades ago. Dokoka Dewanai Koko A 43-year-old housewife gets a glimpse of a complicated relationship between a mother and a daughter."
Otome Youkai Zakuro Picture Drama,10180,2,6.38,5353,4222,1839,4,2010-11-24,2011-01-26,Finished Airing,Special,Picture dramas included with the first and third limited edition DVD volumes.
Hen Zemi (TV),10187,13,6.68,4166,1408,18370,35,2011-04-08,2011-07-01,Finished Airing,TV,"Matsutaka Nanako is a normal university student, who happened to enroll in an Abnormal Physiology seminar. She tries to keep her mental state sound, but other abnormal classmates start to influence her personality..."
Hunter x Hunter Pilot,10189,1,7.41,1376,2702,5569,18,1998-00-00,1998-00-00,Finished Airing,OVA,"The stand-alone pilot OVA which was shown as part of the ""Jump Super Anime Tour"" of 1998."
Katte ni Kaizou,10191,6,7.09,2650,1649,14373,21,2011-05-23,2011-10-26,Finished Airing,OVA,"Katsu Kaizou is a very gullible, 17-year-old high school student and a believer in science fiction, aliens, ghosts, UFOs, conspiracies, etc. He thinks that everything going on around him is the result of some sort of alien plot to take over the world. Each story is pretty much self-contained and is completely bizarre. Kaizou joins the school's science club, makes new friends, and ends up coming in contact with all sorts of strange things like log people, deadly sushi, pee-blades, scary infections, robot invasions, ghosts, living dolls, and more!"
Badaui Jeonseol Jangbogo,10194,26,6.38,4992,7211,231,2,2002-00-00,2002-00-00,Finished Airing,TV,"In a not too distant future, the government sends a particular earthly force of mercenaries to the ocean aboard a high-tech submarine to be named dragon. Led by the young and able captain Jang, the crew of this ship will face powerful mafias that seek to take control of the seas for purposes not entirely clear. A common appearance adventure takes an unexpected and exciting course when you start to reveal that deep things are not as it seems Mysteries and higher forces become part of history when Jang and his team discovered the legendary golden ship. In this Miterio boat hides much of the secrets that pripulantes the Dragon is must be clearer. All this while waging exciting battles where strategy and courage make a difference. Undoubtedly, the most striking of this intriguing anime series is that it was not made in Japan but in Korea. This country has been instrumental in the technical development of Japanese animation for this last ten years, providing support and manpower to the genre's most important productions. Produced by the prestigious firm seoulmovie. Legend Of Blue accomplished."
Baby Princess 3D Paradise 0 [Love],10196,1,6.68,4094,1861,11921,24,2011-07-20,2011-07-20,Finished Airing,OVA,"A high school senior named Yotaro thought he was an only child—until he met his real mother and discovered that she has 19 daughters, from 0 to 18 years old. He ends up living with his ""true family."""
Nyanpire The Animation,10197,12,6.86,3379,1575,15484,61,2011-07-06,2011-09-21,Finished Airing,TV,"A heartwarming story about a stray black cat, who was given blood from a vampire. He was taken in by a girl called Misaki and started to live with her. Nyanpire's favorite phrase is ""Give me blood nya."""
Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki,10199,1,6.32,5054,7480,182,0,1999-07-31,1999-07-31,Finished Airing,Movie,"A fun day at the amusement park is interrupted when the evil witch Dana is reawakened. Queen Yae has sent her after Rika and only the Doll Knights can stop this threat. Meanwhile, Dai and the others must deal with other dangers."
Senkou no Night Raid Picture Drama,10201,1,6.31,5281,5020,1131,0,2010-12-22,2010-12-22,Finished Airing,Special,Picture drama included with the 7th volume of the Blu-ray.
Kamen Rider Den-O: Imagin Anime 3,10202,12,6.79,3467,7262,222,1,2010-10-21,2010-10-21,Finished Airing,OVA,"A third set of animated shorts featuring the popular Imagin characters from the Japanese live-action series ""Kamen Rider Den-O""."
Lily to Kaeru to (Otouto),10207,1,6.56,4561,6023,597,0,2006-08-20,2006-08-20,Finished Airing,Special,"Lily went to an amusement park using the frog as its symbol character with her parents. At the Frog Castle of the park, she happened to draw a sword. It was said that the Frog King would grant any wish if one beat the big snake with the sword. When Lily beat the snake, she went to the Frog Land and met the Frog King. The king said she would become a frog if she couldn't open the Gate of Hope until a child would hatch from the roe in front of her. Suddenly, a man in suits appeared. His name was Knodo, and he was supposed to become her little brother. Lily thought it strange, and she ran away from him. He chased her. Then, they fell over into the water head over heels."
Kore wa Zombie Desu ka? OVA,10209,2,7.6,1055,641,45998,45,2011-06-10,2012-04-25,Finished Airing,OVA,"Two OVAs released with the 8th and 10th volumes of the original novel. They fall chronologically between the first and second seasons. Season 1, Episode 13: Haruna is given the task to hold a Spring Festival at the local shrine, in her own magical-Equipment-girl way, of course... Seraphim does not want to be a freeloader at Haruna's and Ayumu's place, so she starts cooking... And a concentration-game contest in the school's main assembly hall pushes Ayumu and Orito to their limits... Season 2, Episode 0 part 1: Haruna wants to play more with Hellscythe at a swimming pool. Season 2, Episode 0 part 2: Hellscythe's birthday is near! Haruna prepares a birthday party for Hellscythe in her own magical-Equipment-girl-way. What kind of party could Haruna be holding? What kind of birthday presents will Ayumu and gang give to Hellscythe?"
Maji de Watashi ni Koi Shinasai!,10213,12,7.05,2835,457,61210,243,2011-10-02,2011-12-18,Finished Airing,TV,"It's one thing to honor your ancestors and keep old traditions alive, but there IS such a thing as taking it to a ridiculous extreme. In Kawakami City, having a samurai ancestor and enormous 'fighting spirit' isn't just an interesting fact, it's a huge part of how you end up being ranked on the social totem pole. That, in turn, rolls over into the school curriculum. Fortunately, that's something the local kids like Yamato Naoe have learned to deal with by forming into small 'bands,' . However, while the delicate sexual balance of Yamato's group seemed fine when there were three girls and four boys, the sudden addition of two MORE girls starts to send everything spinning out of control!"
Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,10217,12,6.05,6212,3236,3675,1,2011-07-05,2011-09-20,Finished Airing,TV,"Haruka Minazuki and Aoi Kannazuki are two students at St. Cherine academy. Haruka is always filled with bubbly energy while Aoi is more mature and a top student in all her classes - but despite their differences the two are the best of friends. The two girls look like any other girls, attending the academy, but the truth is they are hiding a little secret, that they can't let anybody know about... During the day they really are just students at St. Cherine academy, but they can also become the Twin Angel duo, and fight against the evils of the town! The lovely Angels are back, and it's time for them to get ready for some action!"
Berserk: Ougon Jidaihen I - Haou no Tamago,10218,1,7.93,561,853,35485,129,2012-02-04,2012-02-04,Finished Airing,Movie,"Guts, an immensely strong sword-for-hire, has little direction in his life, simply fighting one battle after the next. However, this all changes suddenly when he meets and is bested by Griffith, a beautiful and charismatic young man who leads the Band of the Hawk mercenary army. After Guts joins the Band and the relationship between the two men begins to blossom, Casca, the tough, lone swordswoman in the Band of the Hawk, struggles to accept Guts and the influence he has on the world around her. While the two men begin to fight together, Griffith continues to rise to power, all seemingly in order to reach his mysterious, prophesied goals. What lengths will Guts and Griffith go to in order to reach these goals, and where will fate take the two men?"
Tamayura: Hitotose,10232,12,7.33,2002,1405,18408,41,2011-10-03,2011-12-19,Finished Airing,TV,"As a little girl, Fuu Sawatari's father taught her to love photography. They took pictures everywhere they went. But after he passed away, seeing those photographs only served as a reminder of her loss, so she locked them away to be forgotten. Years later, her brother Kou finds their father's picture album, and as he flips through its pages, the pictures remind Fuu of all the happy memories of her father that she will carry with her forever. Now, as the shy Fuu enters her first year of high school, she once again takes up her father's old camera, determined to take wonderful pictures that will bring joy and happiness to others."
Toaru Majutsu no Index II Specials,10249,2,7.17,2290,1656,14282,26,2011-01-26,2011-06-22,Finished Airing,Special,New series of shorts featuring Index-tan.
Shion: Bonus Video,10256,1,6.60,4348,6288,495,4,2010-10-01,2010-10-01,Finished Airing,Special,An exclusive alternate ending included in the DVD Box of Shion.
Pretty Rhythm: Aurora Dream,10257,51,7.61,1108,2626,5825,59,2011-04-09,2012-03-31,Finished Airing,TV,"Prism Stars are performers on the new popular ice show, Prism Show. They are superidols whose techniques, singing and fashion sense are a cut above all others. Aira and Rizumu are two Prism Stars whose goal is to become the best, the Prism Queen; however, the road to success is bumpy."
Gokicha!! Cockroach Girl!,10258,2,5.74,6645,3125,3959,3,2012-09-14,2012-09-14,Finished Airing,ONA,A heartwarming story about a cockroach girl who tries to be liked by humans while dodging the insecticide.
Eiyuu Densetsu: Sora no Kiseki The Animation,10260,2,6.90,3224,2569,6124,16,2011-10-10,2012-01-28,Finished Airing,OVA,"Ten years ago, a massive invasion by the Erebonian Empire almost shattered the Kingdom of Liberl, piercing to the heart of Capital City before being driven back by a determined counteroffensive led by Cassius Bright. Now, as the invaders pace behind the northern borders, coveting the small kingdom's magic and high technology, Liberl slowly rebuilds with the aid of the Bracer's Guild, whose mystical use of ""Craft"" is even more intrinsic to the nation's defense than its own army. For young Estelle Bright, daughter of Cassius, this is all just ancient history that she and her adopted brother Joshua learned as kids. But history has a way of repeating itself, and as they prepare to join the Bracers Guild themselves, sinister forces are preparing to thrust them into the familiar family situation of being in the worst possible place when mayhem breaks out. Because when their father's airship goes suddenly missing, of course it only makes sense to two green, but extraordinarily capable, young teenagers to strike out on a rescue mission of their own!"
Gag Manga Biyori Jump Festa 2002 Special,10262,1,6.51,4715,6819,318,0,2002-00-00,2002-00-00,Finished Airing,Special,"When Saki, an up and coming idol, holds an autograph session and not a single soul turns up, her hapless editor is at a loss as to what to do. In his infinite wisdom the young man decides that threatening a nearby elementary school kid is then best way to go! However, when that fails it seems that his only choice is to hold an autograph showdown between Saki and the psychotic idol wannabe, Bururu. Then, when a reckless teenager makes a bungled attempt to summon Satan, he and his friends must try and send the devil back to the underworld, but with their attempts just making him all the more infuriated will they emerge from the experience unscathed?"
Sonic X Pilot,10263,2,6.34,5245,5168,1022,4,2001-00-00,2003-00-00,Finished Airing,Special,"The original pilot videos for Sonic X. An English promotional without humans, and a Japanese closer to the final."
Gyakkyou Burai Kaiji: Hakairoku Hen,10271,26,8.31,201,1056,28106,371,2011-04-06,2011-09-28,Finished Airing,TV,"After the events at the Starside Hotel, Kaiji Itou finds himself living his miserable lifestyle once again. Captured by the Teiai group to which he owes a lot of money, he is thrown into an underground forced labor camp where he must pay off his debt by doing harsh manual work. Kaiji becomes desperate as it is expected that he lives in this hellhole for the next 15 years."
Prince of Tennis: Mini Theater,10276,3,7.17,2189,3967,2143,2,2009-12-22,2009-12-22,Finished Airing,Special,A short mini-theatre comedy featuring Prince of Tennis characters.
The iDOLM@STER,10278,25,7.79,795,635,46492,700,2011-07-08,2011-12-23,Finished Airing,TV,"THE IDOLM@STER follows 13 girls from the 765 Production Studio, whose sole goals is to become the top idols in the Japanese entertainment industry. Along with the laughs, struggles and tears that are inherently part of this journey, you will cheer for the girls of IDOLM@STER as they climb their way to the top!"
Uchuu Kaizoku Sara: Bonus Video,10280,1,7.09,2735,4668,1395,8,2010-11-26,2010-11-26,Finished Airing,Special,An exclusive sequel included in the DVD Box of Uchuu Kaizoku Sara.
Soukou Kijo Iris: Bonus Video,10286,1,6.34,5619,5903,643,1,2010-05-21,2010-05-21,Finished Airing,Special,An exclusive scene included in the DVD Box of Soukou Kijo Iris.
Towa no Quon 1: Utakata no Kaben,10294,1,7.55,1190,1362,19388,30,2011-06-18,2011-06-18,Finished Airing,Movie,"This story follows a boy named Quon and his friends, who are ""Attractors."" Attractors are human beings who have awakened and have supernatural powers. Quon is determined to save them all. But a secret organization is hunting them..."
Shin Koihime†Musou: Otome Tairan OVA,10297,1,6.93,3082,3606,2753,0,2011-02-02,2011-02-02,Finished Airing,OVA,Shin Koihime&dagger;Musou: Otome Tairan OVA.
Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,10298,1,7.41,1678,1130,25824,85,2010-07-24,2010-07-24,Finished Airing,Special,Kaichou wa Maid-sama! special that was included on a DVD released with the magazine LaLa. Features character introductions and voice swapping comedy.
Rio: Rainbow Gate! Special,10301,1,6.24,5679,3974,2134,1,2011-10-19,2011-10-19,Finished Airing,Special,An extra episode of Rio: Rainbow Gate! which will be bundled with the seventh volume of the Blu-ray and the DVD.
Pokemon Diamond & Pearl Specials,10302,2,7.18,2466,3321,3417,3,2011-02-03,2011-02-03,Finished Airing,Special,One-hour special split into 2 episodes during the airing of Pokemon Best Wishes! featuring the old characters from the Diamond & Pearl series Hikari and Takeshi with their Pokemon. Episode 1 - ヒカリ・新たなる旅立ち! : Hikari - Setting off on a New Journey! Episode 2 - ニビジム・史上最大の危機! : Nibi Gym - The Greatest Crisis Ever!
Umi Monogatari: Kanon to Iku Amamikoshima,10306,13,6.60,4137,5738,709,1,2009-10-28,2010-03-26,Finished Airing,Special,"DVD specials of Umi Monogatari. Kanon tours the viewer around Amamikoshima, while also commenting about characters and events from the series."
Sengoku Otome: Momoiro Paradox,10308,13,6.74,3901,1367,19288,27,2011-04-05,2011-06-28,Finished Airing,TV,"Hideyoshino is an average girl who always seems to find trouble wherever she goes. One day Hideyoshino visits a local shrine to pray in order to pass her upcoming test. However Hideyoshino sees a blue light coming from inside the Shrine and looks inside to find a mysterious person performing a magic spell. Hideyoshino in a stroke of bad luck trips on a small bell and crashes into the shrine prompting the stranger to catch her. However upon catching Hideyoshino the magic spell spirals out of control and sends Hideyoshino back in time to the Sengoku Era. Hideyoshino then encounters Akechi Mitsuhide and Oda Nobunaga. But unlike what really happened during the era, Hideyoshino realizes that everyone in the world is female. She then decides to help Oda Nobunaga find the Crimson Armor which is said to allow the person wearing the armor to conquer all of Japan."
Dallos Special,10313,1,5.77,6337,7654,154,0,1985-05-08,1985-05-08,Finished Airing,Movie,Summary film of the original series.
Uta no☆Prince-sama♪ Maji Love 1000%,10321,13,7.43,1375,449,62012,1075,2011-07-03,2011-09-24,Finished Airing,TV,"With dreams of becoming a composer and someday writing a song for her favorite idol, Haruka enters the Saotome Academy, a prestigious performing arts school. If successful there, she&rsquo;ll be able to join the Shining Agency after graduation. However, it won&rsquo;t be so easy when Haruka is already surrounded by potential idols and composers. On top of that, her homeroom teacher is a current idol, the headmaster was a record-breaking singer, and the academy itself is a chaotic place where anything can happen. Which prince of song will be paired up with Haruka?! Uta no Prince Sama is an exciting, coming-of-age romantic comedy that will be like sweet music to your eyes and ears!"
Tono to Issho: Gantai no Yabou,10324,12,6.79,3602,4553,1491,1,2011-04-05,2011-06-21,Finished Airing,TV,Comedy parodying famous samurai generals and historical events.
Kyuuketsuki,10325,2,5.88,6519,4346,1718,13,2011-03-11,2012-12-21,Finished Airing,OVA,"The vampire. A legendary creature that lives in the shadows and preys on humanity. Onohara Mikage is an unfortunate girl who sold herself to a clan of vampires to pay off her parents' debt. What has the clan head, Claude, prepared for her? Will she be able to pay herself off and obtain her freedom?"
Cosplay Roshutsu Kenkyuukai,10327,2,6.22,5618,4536,1514,6,2011-04-22,2011-07-22,Finished Airing,OVA,"Aya, a waitress at a cosplay cafe, receives an E-mail asking her to go to an anime convention, for which she'll be paid as much as she wants, but with one condition: to obey all the males' orders. She ends up going out of curiosity, but the normal perversity among the otaku and her own dirty thoughts turn the photo session into an exhibitionism session."
Bakugan Battle Brawlers: Mechtanium Surge,10330,46,6.34,5280,3379,3269,10,2011-02-13,2012-01-26,Finished Airing,TV,"Drago is unable to control the powers he has received from Code Eve, so Dan and Drago contemplate retirement. Meanwhile a new and insidious enemy infiltrates Bakugan Interspace shaking the Battle Brawlers and their fans. The Battle Brawlers must find a way to control Code Eve's powers, with the help of some new allies, or else this new threat could threaten all Bakugan everywhere."
Rurouni Kenshin Recap,10334,1,7.48,1286,3571,2834,10,1997-07-00,1997-07-00,Finished Airing,Special,This is a summary of episodes 34-56.
Last Exile: Ginyoku no Fam,10336,21,7.14,2531,1297,20931,48,2011-10-15,2012-03-24,Finished Airing,TV,"""I've made up my mind! I'm going to steal that ship!"" All source of life originates from the Grand Lake. At this very sacred lake, the battle between the Ades Federation and the Turan Kingdom has just begun. The Ades Federation, armed with massive battleships and its sights set on conquering the world, declares war on the Turan Kingdom. With the Federation's troops encroaching on their beloved country, Turan now lies on the brink of collapse. As this is happening, the princesses of Turan look on as a small vanship named Vespa cruises above their heads. ""We shall now commandeer your flagship and take her from this battlefield. The choice is yours. Die here, or survive with us Sky Pirates!"" The Vespa continues to weave through the barrage of bombs, while the fleets of the Federation close in on Turan. What are the motives of Luscinia, the man leading the Ades Federation into the war? And what is the secret behind ""Exile""?"
Honto ni Atta! Reibai Sensei,10338,22,6.68,4136,3067,4123,3,2011-04-13,2011-09-14,Finished Airing,TV,"The story revolves around Kibayashi, a teacher whose hobby is speaking with the dead and whose special talent is exorcism. She seems to know everything about the other world, yet nothing about our own."
Astro Boy: The Brave in Space,10342,1,6.57,4241,6651,371,0,1964-07-25,1964-07-25,Finished Airing,Movie,"From the TV series of ""Astro Boy,"" three episodes were selected for theater re-edition, ""Robot Rocket"" , ""Earth Defense Troops"" and ""The Last Day of Earth"" . Of these three, ""Earth Defense Troops"" was the only one originally derived from Tezuka Osamu's story ""Number 7."" Its settings were diverted to the ""Astro Boy"" series. In this film, the whole scene of ""Earth Defense Troops"" and a part of ""The Last Day of Earth"" were reproduced in color for this theater version."
Ring ni Kakero 1: Sekai Taikai-hen,10346,6,6.74,3709,6857,309,1,2011-04-10,2011-06-12,Finished Airing,TV,"After defeating Black Shaft's makeshift Team USA and proving their worth to the Shadow Clan, Team Golden Japan Jr. will finally enter the World Jr. Boxing Tournament. In order to fulfill their goal of a perfect victory they'll have to take on teams from countries like Mexico, Italy, France, Germany, and the mysterious and godlike Team Greece."
Happy Kappy,10347,25,5.59,6858,5790,687,2,2011-04-06,2011-10-05,Finished Airing,TV,"The story revolves around Kinoshita Suguri, a nine-year-old third-grade girl who loves animals and making fashion accessories. One day, while Suguri is out buying materials for accessories, she comes across an unusual rock. Thinking it would look cute on a bracelet, she goes to pick up the rock and discovers a creature named Kappy. Kappy happens to be the three-year-old prince of Kapimeshia."
Fireball Charming,10348,13,6.96,3081,2927,4619,5,2011-04-04,2011-06-27,Finished Airing,TV,A 3D computer animation about a female robot duchess named Drossel von Fl&uuml;gel and her guardian servant robot Ged&auml;chtnis.
Hakuouki Sekkaroku,10350,6,7.83,742,2143,9205,46,2011-08-05,2012-06-27,Finished Airing,OVA,"This OVA takes place in between episodes 8 and 9 of the first season of Hakuouki. Yukimura Chizuru goes on a reconnaissance mission in Shimabara as a geiko for the Shinsengumi. Each episode unfolds the events of the days leading up to, during, and after the operation. It intermittently reveals each captain's involvement as well as that of a few demons in the affair. Each individual episode primarily focuses from the third person perspectives of: Okita Souji, Saito Hajime, Harada Sanosuke, Toudou Heisuke, Hijikata Toshizo, and Kazama Chikage."
Kakomareta Sekai,10354,1,6.28,4933,6344,474,1,1998-00-00,1998-00-00,Finished Airing,ONA,"Kakomareta Sekai is a short animation done by Shinkai Makoto using Lightwave 3D. It is inspired by Japanese novelist Murakami Haruki's book 'Sekai no Owari to Hard-Boiled Wonderland' . The music was done by Tenmon, who's also responsible for the music in Shinkai's 'Kanojo to Kanojo no Neko', 'Hoshi no Koe', and 'Kumo no Mukou, Yakusoku no Basho'. Only 30 seconds long, this short was originally viewable at Shinkai's website, but has since been taken down due to bandwidth issues. Its chances of getting a proper release are slim, as Shinkai intended it only as practice using 3DCG programs."
Twinkle Heart: Gingakei made Todokanai,10355,1,5.67,6454,7494,180,0,1986-12-05,1986-12-05,Finished Airing,OVA,"Love, Heaven's greatest treasure went missing and to get it back, the Great God decides to send his two daughters Lemon and Cherry, as well as their governess Berry to find it. However, their search doesn't go so well, mainly because they decide they like it at planet Earth and prefer to work in a hamburger shop . In the one-episode OVA, the girls end up searching for the Love treasure on an exotic planet, however they find magical living plushies instead, having to fight their way through them to recover ""Essence of Life,"" which an evil organisation wants to use for nefarious purposes."
Jinrui wa Suitai Shimashita,10357,12,7.94,531,595,50021,660,2012-07-02,2012-09-17,Finished Airing,TV,"For years, declining birth rates have forced what's left of the human race to cede more and more territory to other beings who have appeared to take advantage of the emptying ecological niche. Now, only a handful of humans remain among the remnants of civilization and Earth is dominated by faeries —tiny, ten-inch tall creatures of surprising intelligence. But humanity's importance isn't over quite yet, as young Watashi learns as she makes the decision to return to her hometown and assume her grandfather's position as an arbitrator between the races. Unfortunately, the job isn't going to be anywhere near as simple as she expected, and it's going to take a wisdom far beyond her years to achieve her most important mission."
Jewelpet Sunshine,10359,52,6.93,3502,4864,1248,5,2011-04-09,2012-03-31,Finished Airing,TV,"In Sunshine Academy, there is a class of lost causes known as &quot;the leftovers&quot;, the Plum class. Ruby and Kanon Mizushirou navigate through high school life in a fantastical world while juggling their warped friendship with their crush on Mikage Shiraishi."
Macross F: Choujikuu Gekijou,10361,1,6.9,2589,4519,1528,0,2011-02-03,2011-02-03,Finished Airing,OVA,A new short CGI movie and a short extra anime bundled with the special edition of the game Macross Triangle Frontier.
Metal Fight Beyblade 4D,10370,52,7.03,2626,3971,2138,13,2011-04-03,2012-04-01,Finished Airing,TV,"In the Cosmos, an unusual event has occurred. Taking a break from their latest triumph over Faust and the Spiral Core, Ginga and Co find themselves saving a boy named Yuki from a mysterious youth named Johannes. Although Yuki is a boy genius and an astronomer, he is a Blader who owns “Anubius”. Yuki says that he has come to tell Ginga and his friends about the voice of the Star Fragment. He witnessed the Star Fragment fall from the sky one day. That single light dwells within Anubius and he says that he heard the voice of the Star Fragment that evening. A great evil is trying to revive the “Black Sun” and ""Nemesis"", the god of destruction, by using the unknown power of the Star Fragment and destroy the world. Ginga and his friends must fight again, just as soon as they get the hang of their new 4D system beys! The episode numbers continue from 103."
Kamisama Dolls,10372,13,7.17,2328,841,35734,59,2011-07-06,2011-09-28,Finished Airing,TV,"Kyouhei, after moving away to Tokyo from his old town to get away from the events that happened, is on a goukon with his friends, including his old neighbor, Shiba. After drinking for a whole night, he and Shiba discover a dead, bloody body in the elevator. He is told by his younger sister, Utao with her Kamisama Doll, that Aki, an old friend, and his Doll are the culprits responsible."
Soul Link Picture Drama,10373,3,5.85,6543,6510,414,0,2006-07-21,2006-09-22,Finished Airing,Special,Main characters reminiscing about their past.
Shinryaku!? Ika Musume,10378,12,7.64,1054,1013,29557,48,2011-09-27,2011-12-25,Finished Airing,TV,"The nefarious Squid Girl is back to continue her self-appointed mission to invade the surface world. Or that's what she would do, if she could just stop getting distracted by squidding movies, reading squidly manga, and making friends as only a squid could make them. Squid Girl must overcome not only danger found at every turn, but her own squidly good nature as well."
Natsume Yuujinchou San,10379,13,8.68,43,507,56267,389,2011-07-05,2011-09-27,Finished Airing,TV,"Natsume Yuujinchou San follows Takashi Natsume, a boy who is able to see youkai. Natsume and his bodyguard Madara, nicknamed Nyanko-sensei, continue on their quest to release youkai from their contracts in the ""Book of Friends."" Natsume comes to terms with his ability to see youkai and stops thinking of it as a curse. As he spends more time with his human and youkai friends, he realizes how much he values them both and decides he doesn't have to choose between the spirit and human worlds to be happy."
Oni Chichi: Re-birth,10380,1,7.76,589,2209,8664,101,2011-04-28,2011-04-28,Finished Airing,OVA,Airi keeps her relation with her father but he treats her as an object sometimes which makes her angry. One day while watching a movie she gets assaulted giving start to an affair with one of her school's teachers.
Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries,10384,10,6.65,4275,3524,2913,4,2009-09-26,2009-11-27,Finished Airing,ONA,Short picture episodes of Reo and Mai during their daily life as a couple.
Momo e no Tegami,10389,1,7.81,758,1637,14602,26,2011-09-10,2011-09-10,Finished Airing,Movie,"Momo is a young girl who grew up in a big city. However, following the premature loss of her father, she has to move with her mother to the old family house on a remote island. Here, time seems to have stopped: old wooden buildings, holy shrines surrounded by trees, fields painstakingly carved out from steep hills... and no shopping mall. Needless to say, Momo is not too overenthusiastic about this new environment. Most of all, her heart is still feeling uneasy about an unfinished letter left by her father. A letter that contained only two words: ""Dear Momo..."" What was dad going to say? One day, exploring the attic of her new big house, Momo finds a dusty and worn out book. And from that moment, something really unexpected starts happening around her..."
.hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!!,10390,3,6.81,3422,3264,3584,4,2011-01-28,2011-04-07,Finished Airing,Special,DVD specials for .hack//Quantum. Main girls are being very special creatures and take lessons about the anime.
Kuragehime: Soreike! Amars Tankentai,10391,6,5.81,6561,3079,4104,2,2010-08-12,2010-09-17,Finished Airing,Special,The Amars go on an adventure in the forest.
Pet Life,10392,1,6.43,4959,4736,1346,7,2011-12-16,2011-12-16,Finished Airing,OVA,"Due to a mix-up, Shizumori's underwear ends up being put into the wrong locker by a classmate after P.E. Shizumori now has to spend half the school day without wearing any underwear until she is finally able to return to the locker room. Once there, she's surprised by Ozaki smelling her underwear. He gives her back her bra, but throws the rest on the ground. When Shizumori's leans down to grab it, he makes a candid shot of her wearing no underwear. Armed with photo-evidence of her being an ""exhibitionist"" he blackmails Shizumori into having sex with him."
Ben-To,10396,12,7.53,1217,315,79786,388,2011-10-09,2011-12-25,Finished Airing,TV,"Sato Yo is a high school boy who likes SEGA games. One day, he enters a grocery store to buy some food for dinner. When he tries to take a bento box, he loses consciousness. He comes around to find all the bento sold out. He notices there is a war game going on at grocery stores and players called ""Wolves"" compete for the half-priced bento. Yarizui Sen, the leader of the Half-Pricer Club, forces Yo to join the club and he enters the bento war."
Mashiro-iro Symphony: The Color of Lovers,10397,12,7.34,1770,632,46721,241,2011-10-05,2011-12-21,Finished Airing,TV,"When boys suddenly get into places where they've never been allowed before, some girls tend to get upset. So when the decision is made to merge the elite Yuihime Girls' Private Academy and the coeducational Kagamidai Private Academy, everyone wants to take extra care in avoiding trouble while bringing the two Privates together. Therefore, rather than just bringing the Kagamidai boys into the Yuihime girls' school all at once, a plan is concocted in which a group of test males will be inserted into the Girls' Private Academy first. Thus, poor young Shingo finds himself being thrown as a sacrificial lamb to the lionesses of Yuihime, who aren't exactly waiting for him with open arms. Will Shingo manage to survive the estrogen soaked death pit that is Yuihime? Can the girls learn to be more receptive to the boys? And just how long until something involving panties will cause emotions to flare, sparks to fly and the battle of the sexes to explode?"
Xi Avant,10405,1,6.46,4749,4202,1857,0,2011-03-26,2011-03-26,Finished Airing,Movie,"Short anime screened in theaters with the stereoscopic 3D conversion of Ghost in the Shell: Stand Alone Complex - Solid State Society movie. The story of Xi Avant is set in Spain and other locales in the near future, and it is tied to the NTT Docomo mobile phone network's next-generation Xi service."
